product_name,countries_en,serving_size,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,trans-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,potassium_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g
Biscuits à la Cannelle - au sucre candi ,France,2 biscuits 23g,2042,0,20.5,11.2,0,0,0,0,70.6,39.3,1.3,4.7,0.705,0.277559055,0,0,0,0,0,0
Génoises Cerise,France,2 biscuits 25 g,1610,0,10,6,0,0,0,0,69,52,2,3,0.18,0.070866142,0,0,0,0,0,0
Sablé fourré au cacao,France,2 biscuits 25 g,2000,0,20,11,0,0,0,0,67,31,0,6,0.53,0.208661417,0,0,0,0,0,0
12 Biscuits chocolat au lait ,France,2 biscuits 25 g,2026,0,20,12,0,0,0,0,68,35,0,6.4,0.44,0.173228346,0,0,0,0,0,0
Petit Beurre au Chocolat Noir,France,2 biscuits 25 g,2035,0,22.1,13.8,0,0,0,0,63.5,37,4.1,6.2,0.65024,0.256,0,0,0,0,0,0
Vanilla bean yogurt,United States,150 g (150 g),556,0,5.33,3.33,0,0,0,0,16.67,14.67,0,4.67,0.13462,0.053,0,0.133,0,0,0,0
Greek Yogurt Blueberry on the bottom,United States,150g,363,0,0,0,0,0,0,0,12.7,10,0.667,8,0.102,0.04,0,0.1,0,0,0,0
Sweet relish,United States,15g,420,0,0,0,0,0,0,0,26.7,20,0,0,2.03,0.8,0,0,0,0,0,0
Extra Virgin Olive Oil,United States,15mL,3350,3350,93.3,13.3,66.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coconut oil,United States,15ml (1 tbsp),3350,3350,93.3,80,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pita Mediterranean Herb,United States,16 g,1830,525,15.6,0,0,0,0,0,75,6.25,6.25,6.25,2.06,0.812,0,0,0,0,0,0
Keebler Toasteds Harvest Wheat,United States,16 g,1830,0,18.8,3.12,6.25,12.5,0,0,68.8,6.25,6.25,0,2.22,0.875,0,0,0,0.00225,0,0
Original Topped with Sea Salt Premium Saltine Crackers,United States,16 g,1830,0,9.38,0,0,0,0,0,75,0,0,6.25,2.14,0.844,0.125,0,0,0.0045,0,0
"First Field, Roasted Tomato Ketchup",United States,16 g (1 Tbsp),259,0,0,0,0,0,0,0,12.5,6.25,0,0,0.79248,0.312,0,0,0,0.00225,0,0
Ketchup,United States,16 g (1 Tbsp),393,0,0,0,0,0,0,0,18.75,12.5,0,0,1.66624,0.656,0,0,0,0,0,0
Creamy Peanut Butter Spread,United States,33 g,2410,1650,48.5,9.09,0,0,0,0,24.2,9.09,6.06,21.2,0.616,0.242,0,0.0606,0,0.00218,0,0
"Redner's, Microwave Popcorn",United States,33 g (0.125 cup),1774,0,24.24,9.09,0,0,0,0,48.48,0,12.1,6.06,1.92532,0.758,0,0,0,0.00218,0,0
Hamburger Buns,United States,33 g (1 BUN),1393,0,3.03,0,0,0,0,0,60.61,6.06,3,9.09,1.3843,0.545,0,0.121,0,0.00327,0,0
"Hot & Spicy Ketchup, Mild",United States,33 g (2 Tbsp),381,0,0,0,0,0,0,0,18.18,9.09,0,6.06,0.30734,0.121,0,0,0,0.00218,0,0
"Hot & Spicy Ketchup, Extra Hot",United States,33 g (2 Tbsp),381,0,0,0,0,0,0,0,18.18,9.09,0,6.06,1.1557,0.455,0,0,0,0.00218,0,0
"Nature's Promise, Organic Natural Style Microwave Popcorn",United States,33 g (2 Tbsp),1142,0,6.06,1.52,0,1.52,0,0,69.7,3.03,21.2,9.09,1.69418,0.667,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),1393,0,13.64,6.06,0,0,0,0,63.64,3.03,18.2,9.09,1.92532,0.758,0,0,0,0.00218,0,0
"Nature's Promise, Organic Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1393,0,13.64,6.06,0,1.52,0,0,63.64,3.03,18.2,9.09,1.92532,0.758,0,0,0,0.00218,0,0
Organic popcorn,United States,33 g (2 Tbsp),1523,0,4.55,0,0,0,0,0,69.7,3.03,12.1,12.12,0.15494,0.061,0,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1523,0,6.06,0,0,0,0,1.52,69.7,0,15.2,9.09,2.15392,0.848,0,0,0,0.00327,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1523,0,6.06,0,0,0,0,0,69.7,0,15.2,9.09,1.61544,0.636,0.545,0,0,0.00327,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1523,0,6.06,0,0,0,0,0,69.7,0,15.2,9.09,1.61544,0.636,0.545,0,0,0.00327,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1523,0,6.06,0,0,0,0,0,69.7,0,15.2,9.09,1.61544,0.636,0.545,0,0,0.00327,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1523,0,6.06,1.52,0,0,0,0,69.7,0,12.1,9.09,1.61544,0.636,0.545,0,0,0.00327,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1523,0,7.58,1.52,1.52,3.03,0,0,69.7,0,15.2,9.09,0.61468,0.242,0,0,0,0.00327,0,0
Organic Microwave Popcorn,United States,33 g (2 Tbsp),1648,0,9.09,3.03,0,0,0,0,69.7,0,12.1,9.09,1.1557,0.455,0,0,0,0.00327,0,0
Organic Microwave Popcorn,United States,33 g (2 Tbsp),1648,0,7.58,3.03,0,0,0,0,69.7,3.03,9.1,9.09,1.46304,0.576,0,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1648,0,18.18,9.09,0,0,0,0,60.61,0,15.2,9.09,2.00152,0.788,0,0,0,0,0,0
"Pop' Box, Microwave Popcorn",United States,33 g (2 Tbsp),1648,0,12.12,4.55,0,0,0,0,66.67,0,21.2,9.09,2.00152,0.788,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),1648,0,9.09,3.03,0,0,0,0,69.7,0,12.1,9.09,1.1557,0.455,0,0,0,0.00327,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1774,0,24.24,9.09,0,0,0,0,48.48,0,12.1,6.06,1.92532,0.758,0,0,0,0.00218,0,0
Microwave Kettle Corn Popcorn,United States,33 g (2 Tbsp),1774,0,24.24,9.09,0,0,0,0,48.48,0,12.1,6.06,1.92532,0.758,0,0,0,0.00218,0,0
"Light Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1774,0,15.15,3.03,3.03,0,0,6.06,60.61,0,15.2,9.09,3.00228,1.182,0,0,0,0.00218,0,0
Light Natural Microwave Popcorn,United States,33 g (2 Tbsp),1774,0,15.15,6.06,4.55,0,0,0,60.61,0,15.2,9.09,1.46304,0.576,0.485,0,0,0.00218,0,0
"Microwave Popcorn, Light Butter",United States,33 g (2 Tbsp),1774,0,15.15,6.06,4.55,0,0,0,60.61,0,15.2,9.09,1.3843,0.545,0.485,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),1774,0,15.15,6.06,0,0,0,0,63.64,0,12.1,9.09,1.2319,0.485,0,0,0,0.00218,0,0
"Amish Country, White Hulless Microwave Popcorn",United States,33 g (2 Tbsp),1774,0,15.15,6.06,0,0,0,0,60.61,0,9.1,9.09,2.23266,0.879,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),1774,0,15.15,7.58,4.55,3.03,0,0,63.64,0,12.1,9.09,1.3843,0.545,0.515,0,0,0.00218,0,0
"Microwave Popcorn, Light Butter",United States,33 g (2 Tbsp),1774,0,15.15,7.58,4.55,3.03,0,0,63.64,0,12.1,9.09,1.3843,0.545,0.515,0,0,0.00218,0,0
"Organic Microwave Popcorn, Butter",United States,33 g (2 Tbsp),1904,0,15.15,6.06,0,0,0,0,69.7,0,15.2,12.12,2.15392,0.848,0,0,0,0.00218,0,0
Organic Microwave Popcorn,United States,33 g (2 Tbsp),1904,0,15.15,6.06,0,0,0,0,69.7,0,15.2,12.12,2.15392,0.848,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),1904,0,24.24,12.12,7.58,1.52,0,0,54.55,0,12.1,9.09,2.00152,0.788,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),1904,0,27.27,6.06,0,0,0,9.09,54.55,0,12.1,9.09,3.07848,1.212,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),1904,0,27.27,6.06,0,0,0,9.09,54.55,0,12.1,9.09,3.07848,1.212,0,0,0,0.00218,0,0
"Hy-Top, Microwave Popcorn",United States,33 g (2 Tbsp),1904,0,24.24,12.12,7.58,1.52,0,0,54.55,0,12.1,9.09,2.00152,0.788,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),1904,0,24.24,12.12,7.58,1.52,0,0,54.55,0,12.1,9.09,2.00152,0.788,0.576,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),1904,0,24.24,12.12,7.58,1.52,0,0,54.55,0,12.1,9.09,2.00152,0.788,0.576,0,0,0.00218,0,0
"Microwave Popcorn, Light Butter",United States,33 g (2 Tbsp),1904,0,18.18,7.58,0,0,0,0,63.64,0,12.1,9.09,3.46456,1.364,0,0,0,0.00273,0,0
Organic Microwave Popcorn,United States,33 g (2 Tbsp),1904,0,21.21,9.09,0,0,0,0,57.58,0,9.1,9.09,2.30886,0.909,0,0,0,0.00218,0,0
Natural Microwave Popcorn,United States,33 g (2 Tbsp),1904,0,27.27,6.06,0,0,0,9.09,54.55,0,12.1,9.09,3.07848,1.212,0,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,9.1,6.06,1.53924,0.606,0.485,0,0,0.00109,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,12.1,6.06,1.53924,0.606,0.455,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,9.1,6.06,1.53924,0.606,0.485,0,0,0.00109,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,12.1,6.06,1.53924,0.606,0.455,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,12.1,6.06,1.53924,0.606,0.455,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,9.1,6.06,1.53924,0.606,0,0,0,0.00109,0,0
Movie Theater Butter Microwave  Popcorn,United States,33 g (2 Tbsp),2029,0,27.27,4.55,15.15,6.06,0,0,51.52,0,9.1,6.06,3.07848,1.212,0,0,0,0.00218,0,0
"Microwave Popcorn, Natural Flavor",United States,33 g (2 Tbsp),2029,0,24.24,4.55,0,0,0,9.09,57.58,3.03,9.1,9.09,2.4638,0.97,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,12.1,6.06,1.53924,0.606,0.455,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,12.1,6.06,1.53924,0.606,0,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2029,0,27.27,15.15,0,0,0,0,51.52,0,9.1,6.06,2.92608,1.152,0,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2029,0,36.36,9.09,0,0,0,12.12,42.42,3.03,9.1,6.06,2.54,1,0,0,0,0.00109,0,0
"Ultimate Theatre Style Butter Microwave Popcorn, Blast O Butter",United States,33 g (2 Tbsp),2029,0,36.36,9.09,0,0,0,12.12,42.42,3.03,9.1,6.06,2.54,1,0,0,0,0.00109,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),2029,0,24.24,12.12,0,0,0,0,60.61,0,9.1,9.09,2.6162,1.03,0,0,0,0.00218,0,0
White Hulless Microwave Popcorn,United States,33 g (2 Tbsp),2029,0,27.27,12.12,0,0,0,0,51.52,0,9.1,9.09,2.30886,0.909,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),2029,0,27.27,15.15,9.09,3.03,0,0,51.52,0,9.1,6.06,2.92608,1.152,0,0,0,0.00218,0,0
"Microwave Popcorn, Ultimate Butter",United States,33 g (2 Tbsp),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,12.1,6.06,2.92608,1.152,0,0,0,0.00218,0,0
"Microwave Popcorn, Ultimate Butter",United States,33 g (2 Tbsp),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,12.1,6.06,2.92608,1.152,0,0,0,0.00218,0,0
Butter Microwave Popcorn,United States,33 g (2 Tbsp),2029,0,27.27,6.06,0,0,0,10.61,51.52,0,12.1,9.09,3.07848,1.212,0,0,0,0.00218,0,0
"Amish Country, Microwave Popcorn",United States,33 g (2 Tbsp),2092,0,27.27,13.64,0,0,0,0,54.55,0,9.1,9.09,1.1557,0.455,0,0,0,0.00218,0,0
"Microwave Popcorn Reinvented, Hickory Smoked Cheddar",United States,33 g (2 Tbsp),2155,0,33.33,4.55,24.24,0,0,0,48.48,0,9.1,12.12,1.1557,0.455,0,0.061,0,0.00218,0,0
"Microwave Popocorn Reinvented, Butter & Sea Salt",United States,33 g (2 Tbsp),2155,0,33.33,4.55,0,0,0,0,48.48,0,9.1,9.09,1.00076,0.394,0,0.061,0,0.00109,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),2155,0,30.3,6.06,0,0,0,13.64,48.48,0,12.1,6.06,3.38582,1.333,0,0,0,0.00218,0,0
"Microwave Popcorn, Theater Butter",United States,33 g (2 Tbsp),2155,0,33.33,7.58,0,0,0,13.64,48.48,0,12.1,6.06,2.77114,1.091,0,0,0,0.00218,0,0
"Extra Butter Microwave Popcorn, Theatre Style",United States,33 g (2 Tbsp),2155,0,33.33,7.58,0,0,0,13.64,48.48,0,12.1,6.06,2.77114,1.091,0,0,0,0.00218,0,0
"Microwave Popcorn, Theater Butter",United States,33 g (2 Tbsp),2155,0,30.3,15.15,0,0,0,0,51.52,0,9.1,6.06,1.92532,0.758,0,0,0,0.00109,0,0
Smart Movie Style Microwave Popcorn,United States,33 g (2 Tbsp),2155,0,33.33,12.12,9.09,12.12,0,0,48.48,3.03,9.1,9.09,3.38582,1.333,0,0,0,0.00109,0,0
"Microwave Popcorn, Extra Butter",United States,33 g (2 Tbsp),2155,0,30.3,15.15,0,0,0,0,51.52,0,12.1,6.06,1.92532,0.758,0,0,0,0.00218,0,0
"Microwave Popcorn, Extra Butter",United States,33 g (2 Tbsp),2155,0,30.3,15.15,0,0,0,0,51.52,0,12.1,6.06,1.92532,0.758,0,0,0,0.00218,0,0
"Microwave Popcorn, Movie Theater Extra Butter",United States,33 g (2 Tbsp),2155,0,30.3,15.15,0,0,0,0,51.52,0,12.1,6.06,1.92532,0.758,0,0,0,0.00218,0,0
"Amish Country, Microwave Popcorn, Cheddar Cheese",United States,33 g (2 Tbsp),2155,0,33.33,15.15,0,0,0,0,48.48,0,9.1,9.09,2.84734,1.121,0,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2155,0,30.3,15.15,10.61,3.03,0,0,51.52,0,9.1,6.06,1.92532,0.758,0,0,0,0.00109,0,0
"Microwave Popcorn, Extra Butter",United States,33 g (2 Tbsp),2155,0,30.3,15.15,0,0,0,0,51.52,0,9.1,6.06,1.92532,0.758,0,0,0,0.00109,0,0
"Microwave Popcorn, Extra Butter",United States,33 g (2 Tbsp),2155,0,30.3,15.15,0,0,0,0,51.52,0,9.1,6.06,1.92532,0.758,0,0,0,0.00109,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),2155,0,30.3,15.15,0,0,0,0,51.52,0,9.1,6.06,1.92532,0.758,0,0,0,0.00109,0,0
"Microwave Popcorn, Movie Theater Butter",United States,33 g (2 Tbsp),2155,0,30.3,15.15,10.61,3.03,0,0,51.52,0,12.1,6.06,1.92532,0.758,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),2155,0,28.79,15.15,0,0,0,0,54.55,0,9.1,9.09,2.54,1,0,0,0,0.00303,0,0
"Microwave Popcorn, Extra Butter",United States,33 g (2 Tbsp),2155,0,30.3,15.15,0,0,0,0,54.55,0,9.1,9.09,2.69494,1.061,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),2155,0,30.3,15.15,0,0,0,0,54.55,0,9.1,9.09,2.69494,1.061,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (2 Tbsp),2155,0,33.33,7.58,0,0,0,13.64,48.48,0,12.1,6.06,2.77114,1.091,0,0,0,0.00218,0,0
"Microwave Kettle Sweet & Salty Flavored Popcorn, Sweet & Salty",United States,33 g (2 Tbsp),2280,0,36.36,7.58,0,0,0,18.18,45.45,0,12.1,6.06,0.76962,0.303,0,0,0,0.00218,0,0
"No Salt Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2280,0,33.33,18.18,0,0,0,0,48.48,0,12.1,6.06,0,0,0,0,0,0.00218,0,0
"Old Fashioned Kettle Corn Microwave Popcorn, Sweet & Salty",United States,33 g (2 Tbsp),2280,0,36.36,18.18,0,0,0,0,45.45,0,12.1,6.06,0.76962,0.303,0,0,0,0.00218,0,0
Microwave Kettle Corn Popcorn,United States,33 g (2 Tbsp),2280,0,36.36,18.18,12.12,3.03,0,0,45.45,0,12.1,6.06,0.76962,0.303,0,0,0,0.00218,0,0
"Kentucky Proud Popcorn, Microwave Popcorn, Cheese",United States,33 g (2 Tbsp),2280,0,33.33,18.18,0,0,0,0,48.48,0,9.1,6.06,3.00228,1.182,0,0,0,0.00303,0,0
"Premium Microwave Popcorn, Butter",United States,33 g (2 Tbsp),2280,0,36.36,7.58,9.09,1.52,0,15.15,45.45,0,6.1,6.06,2.38506,0.939,0,0,0,6.06061,0,0
Microwave Popcorn,United States,33 g (2.5 ) | SERVINGS PER BAG ABOUT (),2218,0,30.3,15.15,0,0,0,0,54.55,0,9.1,7.58,3.15468,1.242,0,0,0,0.00303,0,0
"Microwave Popcorn, Light Extra Butter",United States,33 g (2.5 | AS PACKAGED SERVINGS PER BAG ABOUT),1774,0,15.15,3.03,4.55,1.52,0,4.55,63.64,0,12.1,9.09,2.00152,0.788,0,0,0,0.00218,0,0
"Microwave Popcorn, Light Butter",United States,"33 g (2.5 | AS PACKAGED, SERVINGS PER BAG ABOUT)",1774,0,15.15,7.58,4.55,3.03,0,0,63.64,0,12.1,9.09,1.3843,0.545,0.515,0,0,0.00218,0,0
"Microwave Popcorn, Light Butter",United States,"33 g (3 , PER CONTAINER: ABOUT 9 | PER BAG: ABOUT)",1648,0,7.58,3.03,0,0,0,0,60.61,0,15.2,9.09,1.46304,0.576,0,0,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,"33 g (3 , SERVING PER CONTAINER ABOUT 9 | SERVING PER BAG ABOUT)",2280,0,33.33,18.18,0,0,0,0,48.48,0,12.1,6.06,0,0,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (3 ) | AS PACKAGED (BAG ABOUT),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,9.1,6.06,1.53924,0.606,0,0,0,0.00109,0,0
"Microwave Popcorn, Extra Butter",United States,33 g (3 | AS PACKAGED SERVING PER BAG ABOUT),2155,0,30.3,15.15,0,0,0,0,51.52,0,9.1,6.06,1.92532,0.758,0,0,0,0.00109,0,0
"Microwave Popcorn Unpopped, Butter Natural Flavor",United States,"33 g (3 | AS PACKAGED, BAG ABOUT)",2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,9.1,6.06,1.53924,0.606,0.485,0,0,0.00109,0,0
"Microwave Popcorn, Butter",United States,"33 g (3 | AS PACKAGED, SERVING PER BAG ABOUT)",2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,9.1,6.06,1.53924,0.606,0.485,0,0,0.00109,0,0
"Microwave Popcorn, Butter",United States,33 g (3 | AS PACKAGED; SERVINGS PER BAG ABOUT),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,9.1,6.06,1.53924,0.606,0.485,0,0,0.00109,0,0
Microwave Popcorn,United States,33 g (3 | BAG ABOUT),2155,0,30.3,15.15,0,0,0,0,51.52,0,9.1,6.06,1.92532,0.758,0,0,0,0.00109,0,0
Microwave Popcorn,United States,33 g (3 | SERVING PER BAG ABOUT),2029,0,30.3,15.15,10.61,3.03,0,0,51.52,0,9.1,6.06,1.53924,0.606,0,0,0,0.00109,0,0
Microwave Popcorn,United States,33 g (3 CUPS POPPED) | UNPOPPED (MAKES ABOUT),2155,0,33.33,6.06,21.21,6.06,0,0,51.52,0,9.1,12.12,1.3081,0.515,0,0.121,0,0.00218,0,0
"Microwave Popcorn, Butter",United States,33 g (3 Tbsp),1268,0,6.06,1.52,0,0,0,0,60.61,0,15.2,12.12,0.61468,0.242,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (3 Tbsp),1523,0,13.64,6.06,0,0,0,0,51.52,0,12.1,6.06,1.92532,0.758,0,0,0,0.00327,0,0
"Microwave Popcorn, Butter",United States,33 g (3 Tbsp),1774,0,27.27,9.09,0,0,0,0,48.48,0,12.1,6.06,1.92532,0.758,0,0,0,0.00327,0,0
"Microwave Popcorn, Extra Butter",United States,33 g (3 Tbsp),1904,0,27.27,15.15,0,0,0,0,45.45,0,12.1,6.06,2.30886,0.909,0,0,0,0.00218,0,0
Old Fashioned Kettle Corn Microwave Popcorn,United States,33 g (3.5 CUPS POPPED),2280,0,36.36,18.18,12.12,3.03,0,0,45.45,0,12.1,6.06,0.76962,0.303,0,0,0,0.00218,0,0
"Organic Microwave Popcorn, Butter",United States,33 g (33 g),1774,0,18.18,7.58,0,0,0,0,60.61,3.03,9.1,6.06,2.07772,0.818,0,0,0,0.00218,0,0
"Organic Microwave Popcorn, Light Butter",United States,33 g (4 CUP POPPED),1648,0,7.58,3.03,6.06,3.03,0,0,69.7,3.03,9.1,9.09,0.69342,0.273,0,0,0,0.00218,0,0
"Organic Microwave Popcorn, Butter",United States,33 g (4 CUPS POPPED | UNPOPPED MAKES ABOUT),1774,0,15.15,7.58,0,0,0,0,63.64,3.03,12.1,9.09,2.30886,0.909,0,0,0,0.00218,0,0
"Organic Microwave Popcorn, Butter",United States,33 g (4 CUPS POPPED | UNPOPPED MAKES),1904,0,15.15,6.06,9.09,3.03,0,0,69.7,0,15.2,12.12,2.15392,0.848,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (4 CUPS POPPED),2029,0,24.24,12.12,0,0,0,0,57.58,3.03,9.1,9.09,2.4638,0.97,0,0,0,0.00218,0,0
Microwave Popcorn,United States,"33 g (4 CUPS POPPED), SERVINGS PER BAG 3 | UN-POPPED(MAKES)",1904,0,21.21,9.09,0,0,0,0,57.58,0,9.1,9.09,2.38506,0.939,0,0,0,0.00218,0,0
Organic Salted Microwave Popcorn,United States,"33 g (4 CUPS POPPED). | UNPOPPED, (MAKES)",1648,0,9.09,3.03,3.03,3.03,0,0,69.7,0,12.1,9.09,1.1557,0.455,0,0,0,0.00327,0,0
Sweet And Salty Kettle Microwave Popcorn,United States,33 g (4 CUPS) SERVING PER CONTAINER ABOUT 2.5 | (MAKES ABOUT),2029,0,24.24,10.61,0,0,0,0,54.55,0,9.1,6.06,2.15392,0.848,0,0,0,0.00218,0,0
Organic Microwave Popcorn,United States,"33 g (4.5 CUPS POPPED), SERVINGS PER CONTAINER ABOUT 2.5 | UNPOPPED (MAKES ABOUT)",1774,0,15.15,6.06,0,0,0,0,63.64,0,12.1,9.09,0.57658,0.227,0,0,0,0.00218,0,0
"Gourmet Popcorn Pop' Box, Microwave Popcorn",United States,33 g (5 CUPS POPPED) | (MAKES ABOUT),1648,0,0,4.55,0,0,0,0,66.67,0,24.2,9.09,2.00152,0.788,0,0,0,0.00218,0,0
Microwave Popcorn,United States,33 g (9 | SERVING PER BOX),1774,0,24.24,9.09,0,0,0,0,48.48,0,12.1,6.06,1.92532,0.758,0,0,0,0.00218,0,0
Good & Plenty,United States,33 pieces (40 g),1460,0,0,0,0,0,0,0,87.5,62.5,0,2.5,0.762,0.3,0,0,0,0.0009,0,0
Carolina Sauce ,United States,33g,506,0,0,0,0,0,0,0,30.3,24.2,0,0,1.92,0.758,0,0.0606,0,0.00218,0,0
Peanut Butter Spread,United States,34 g (2 Tbsp),2213,0,35.29,5.88,0,0,0,0,41.18,11.76,5.9,20.59,1.27,0.5,0,0,0,0.00106,0.176,0.00265
Organics Natural Microwave Popcorn,United States,34 g (2 Tbsp),1356,0,7.35,2.94,0,0,0,0,67.65,0,14.7,8.82,2.68986,1.059,0,0,0,0.00212,0,0
"Organic Microwave Popcorn, Butter",United States,34 g (2 Tbsp),1598,0,17.65,8.82,0,0,0,0,58.82,0,14.7,8.82,1.9431,0.765,0,0,0,0.00212,0,0
Popped Microwave Popcorn,United States,34 g (2 Tbsp),1845,0,26.47,14.71,8.82,4.41,0,0,55.88,0,11.8,5.88,1.79324,0.706,0,0,0,0.00106,0,0
Microwave Kettle Popcorn,United States,34 g (2 Tbsp),1845,0,26.47,11.76,8.82,2.94,0,0,55.88,0,8.8,5.88,1.27,0.5,0,0,0,0.00212,0,0
Microwave Popcorn,United States,34 g (2 Tbsp),2213,0,32.35,17.65,0,0,0,0,52.94,0,8.8,8.82,1.9431,0.765,0,0,0,0.00212,0,0
Microwave Popcorn,United States,34 g (34 g),1230,0,5.88,1.47,0,0,0,0,58.82,0,14.7,11.76,0.5969,0.235,0,0,0,0.00212,0,0
Microwave Popcorn,United States,34 g (4.5 CUPS POPPED) PER BAG ABOUT 2.5 | UNPOPPED (MAKES ABOUT),2092,0,29.41,14.71,0,0,0,0,52.94,0,8.8,8.82,1.04648,0.412,0,0,0,0.00212,0,0
Microwave Popcorn,United States,34 g (4.5 CUPS POPPED) SERVINGS PER CARTON ABOUT 15 | UNPOPPED (MAKES ABOUT),2213,0,29.41,14.71,0,0,0,0,52.94,0,8.8,8.82,2.01676,0.794,0,0,0,0.00212,0,0
Microwave Popcorn,United States,34 g (4.5 CUPS POPPED); SERVINGS PER BAG ABOUT 2.5 | UNPOPPED (MAKES ABOUT),1845,0,7.35,2.94,0,0,0,0,82.35,0,11.8,11.76,2.39014,0.941,0,0,0,0.00318,0,0
Pulp free 100% pure squeezed Pasteurized Orange Juice,United States,340 mL,197,0,0,0,0,0,0,0,10.9,9.71,0,0.588,0,0,0,0.00588,0,0,0.00941,0
"100% Juice, Apple",United States,340 ml (1 CAN),209,0,0,0,0,0,0,0,12.06,12.06,0,0,0.01016,0.004,0.115,0,0,0.00011,0,0
Salsa con queso medium,United States,34g,491,309,7.35,2.94,0,0,0,0,14.7,2.94,2.94,2.94,2.09,0.824,0,0.118,0,0,0,0
Tostitos Cantina Roasted Garlic Thick & Chunky Salsa,United States,35 g,42,0,0,0,0,0,0,0,2,1,1,1,0.5842,0.23,0,0,0,0,0,0
Soft Baked Oatmeal Squares Cinnamon Brown Sugar,United States,35 g,1790,0,14.3,2.86,0,0,0,0,65.7,25.7,5.71,5.71,0.943,0.371,0,0,0,0.00206,0,0
